nombre,telefono,zona,placa_moto,disponible
Rosalina Santana Lucena,+34 827 181 050,Vizcaya,C257G,True
Olalla Barral Menendez,+34882154785,Lugo,P312L,True
Bernarda Oriana Corral Quintero,+34925059250,Zaragoza,Q380K,True
Vicente Francisco Hierro,+34 833567103,Lleida,U830O,True
Rolando Donoso-Lozano,+34 987 95 25 93,Cáceres,I232L,True
Victor Jordi Font Torrecilla,+34946 553 219,Valladolid,S659U,True
María Fernanda Cabello Ramos,+34885 591 022,Valencia,V619W,True
Benjamín Muro Arcos,+34 847 92 21 43,Melilla,T357U,True
Lola Maricruz Gallardo Sobrino,+34 722 61 41 42,Córdoba,M775G,True
Miguel Venceslás Acedo Goñi,+34800 13 06 65,Jaén,G736M,True
Matilde Luna Marco,+34806560888,Madrid,A916E,True
Bernardita Sanmiguel,+34 984382855,Murcia,H334T,True
Cipriano Cabanillas Abellán,+34927 58 89 06,Ceuta,T565D,True
Luna Alicia Roldán Beltran,+34 922 052 404,Teruel,Z732D,True
Emperatriz Lopez Ribera,+34820 916 875,Murcia,T283W,True
Gertrudis Montoya-Amador,+34 982 58 26 84,Murcia,D110A,True
Heraclio Hidalgo Mena,+34 972 805 802,Toledo,S602G,True
Guiomar Lago Estévez,+34966 769 186,Salamanca,G173T,True
Humberto Arnaiz Baquero,+34 976396826,Lugo,N596V,True
Pacífica Valencia Macías,+34 923 98 91 48,Castellón,J865R,True
Toño Tovar Verdugo,+34948 244 024,Vizcaya,I379V,True
Pedro Cayetano Hurtado Araujo,+34 821 556 172,Ciudad,E950O,True
Rosa María Gomez Rodríguez,+34921402898,Baleares,O390H,True
Calixto Marcos Tapia Beltrán,+34 947 429 032,Zaragoza,U389O,True
Ainoa Aguirre-Torres,+34 925 55 98 62,Huelva,S178C,True
Juan José Agullo-Fernandez,+34942220850,Murcia,D623Z,True
Pelayo Peñalver,+34 928981557,Zamora,Y787I,True
Natividad Valenzuela Ferrando,+34822 94 61 34,Asturias,X322K,True
Valero Dueñas Villanueva,+34871249303,Cáceres,F836D,True
Juan Luis Gaspar Galán Gámez,+34 823 14 60 37,Vizcaya,I621W,True
Conrado Cal Cardona,+34 879565658,Ávila,I848J,True
Buenaventura Castejón Milla,+34 918 30 62 04,Murcia,Z425Z,True
Pilar Rey Menendez,+34 876143004,Zaragoza,K443B,True
Damián Morera Álvaro,+34 741 38 86 09,Salamanca,Q749X,True
Lucía Abigaíl Gutierrez Ponce,+34828695436,Melilla,A333G,True
Edu Blázquez Castrillo,+34871 576 464,Asturias,U375U,True
Leandro Agullo Serrano,+34825 74 79 02,Huesca,V679Y,True
Fanny Sanchez Cortes,+34971 97 43 15,Cantabria,C115U,True
Vicente Borrás,+34 823 56 75 21,Lleida,Q988K,True
Bruno Norberto Vila Redondo,+34877108677,La Rioja,N989Q,True
Apolonia Gisbert Belda,+34949 38 20 45,Murcia,Q601H,True
Juanita Meléndez Marín,+34883433920,Pontevedra,K320I,True
Teófila Bauzà-Portero,+34 820 882 969,Barcelona,L755X,True
Jacinto Sarabia Giralt,+34 972 963 859,Albacete,Y711I,True
Pelayo Segovia-Duarte,+34 845594856,Segovia,E504P,True
Fito Miró Ortega,+34 987 76 37 33,Huelva,A966K,True
Ana Moles Rodriguez,+34 822701423,León,R719T,True
Oriana de Amaya,+34 964 146 267,Valencia,I160Q,True
Aura Garcia Menendez,+34 949740170,Palencia,M396J,True
Rebeca Peñas Cabeza,+34803 30 95 06,Ciudad,V188L,True
Albino Aarón Casares Tello,+34 846581877,Valencia,S165F,True
Susanita Rodriguez Amo,+34839549418,Segovia,P623J,True
Pelayo Saldaña-Campillo,+34 942 16 22 95,Soria,T712Y,True
Lorenzo de Sanmiguel,+34800 206 091,Salamanca,W707O,True
Quirino Roura-Cerdá,+34 842 243 923,Guipúzcoa,P330M,True
Purificación del Tejero,+34876 795 580,Almería,E178N,True
Bautista Soria Martinez,+34 924 62 15 16,Badajoz,I855W,True
Isidoro Escribano Zaragoza,+34 880 638 310,Navarra,A949B,True
Noelia Mascaró Cornejo,+34983875036,Lugo,S182Q,True
Eligia Cortes Castell,+34 826 765 435,Melilla,R276U,True
Roberta Belmonte Abellán,+34942 986 152,Las Palmas,S966D,True
Leandra Sacristán Ávila,+34701 64 21 63,Álava,E617X,True
Vilma Valdés-Bas,+34 819780711,Jaén,H682D,True
Cristian Alsina Morell,+34 878 49 44 60,Córdoba,A221N,True
Santiago del Prieto,+34 803800652,Huesca,P414H,True
María Malo Pineda,+34877 049 633,Álava,J722W,True
Ale Arana Vilaplana,+34 844 465 926,Guadalajara,A245N,True
Luis Ángel del Tamarit,+34 946 527 431,Cuenca,J377K,True
Tiburcio Valcárcel Pineda,+34 879 18 33 01,La Rioja,D578L,True
Nieves del Téllez,+34988 03 80 34,Zaragoza,O377P,True
Jose Rebollo Marín,+34 978047425,Ávila,Y761Q,True
Pili Quintana Villanueva,+34976 83 06 47,Barcelona,P924G,True
Abril Sedano Cañas,+34841 026 229,Asturias,G103Z,True
Cruz Piñeiro,+34 946 615 092,Huesca,Y556J,True
Renato Albano Tapia Becerra,+34980 12 64 44,La Rioja,N188Y,True
Lalo Hector Verdú Raya,+34 942822617,Córdoba,W524O,True
Elvira Feijoo-Miró,+34 837203208,Sevilla,F558S,True
Ricarda Tur Amaya,+34807 474 593,Cádiz,H817S,True
Albano Mateos Pelayo,+34848 38 01 44,Soria,S912B,True
Octavia Escolano-Ferrer,+34 902877336,Ciudad,L333Y,True
Nereida de Carbó,+34985 333 862,Valencia,W340G,True
Nélida Ángeles Ojeda Cardona,+34 982098096,Huesca,C723R,True
Nerea Martorell,+34948 407 378,Lleida,A283V,True
Griselda Ámbar Pablo Aller,+34 984 231 707,Guipúzcoa,X488N,True
Elena Roman-Rubio,+34886297879,Zaragoza,U344F,True
Félix del Jerez,+34 884 514 796,Lugo,N751M,True
Leandra Pagès Aragonés,+34876407007,Cádiz,B725Y,True
Ricardo Arranz Peña,+34887 61 53 11,Álava,S888Y,True
Juan José Álvaro Español,+34742098374,Ávila,S514C,True
Adrián del Almeida,+34 942422434,Albacete,G212B,True
Carmela Mena-Alemán,+34855 71 90 83,Ceuta,O337L,True
Sara de Pulido,+34 847 735 276,Salamanca,G971S,True
Emperatriz Herranz,+34881 876 742,Albacete,F906E,True
Albina Asenjo,+34828 17 85 54,Valencia,E148S,True
Francisco del Llanos,+34 947 85 27 80,Cuenca,Q992D,True
Florina Adoración Castellanos Chacón,+34844 921 617,Asturias,P107B,True
Isidro Bartolomé-Anglada,+34 871769689,Lugo,M241B,True
Elodia Ríos Esteve,+34 944 88 38 22,Sevilla,S315Q,True
Eduardo Camacho,+34845 726 490,Castellón,J970Z,True
Aurelio Valle,+34621 085 847,Granada,Z631M,True
Marcela Ibáñez Vilaplana,+34957980688,Baleares,I961Y,True
Emelina Rocha Hurtado,+34806 927 184,Guipúzcoa,T500V,True
Desiderio Tenorio Codina,+34926 87 65 57,Sevilla,M875M,True
Flavio Escobar Carretero,+34901 758 694,Tarragona,B159I,True
Marino Calderon,+34 901 79 07 86,Cantabria,V551K,True
Prudencio Teófilo Saez Castrillo,+34 920134078,Burgos,S316L,True
Carolina del Puente,+34927 701 613,Cantabria,J350O,True
Delia Mirta Recio Tolosa,+34 812 739 728,Tarragona,Z964Y,True
Silvia María Catalá Uribe,+34 983 26 19 96,Baleares,L280Y,True
Olga Rivero Bejarano,+34927210249,Murcia,F414G,True
